id,source_website,source_label,source_url,author,review_date,rating,sentiment,review_text,tier1,tier2,tier3
rvw-000001,play.google.com,Google Play (com.iaai.android),https://play.google.com/store/apps/details?id=com.iaai.android&hl=en&gl=us,Queen Valariejt,2026-03-28,4,positive,very detailed information on auctions and vehicles,"Vehicle Pickup, Delivery and Scheduling",Delivery Coordination & Handoffs,Delivery Status and ETA
rvw-000002,play.google.com,Google Play (com.iaa.mobile.IaaTow),https://play.google.com/store/apps/details?id=com.iaa.mobile.IaaTow&hl=en&gl=us,Ryan Caldwell,2026-03-26,5,positive,App is telling me that their is a new update but Google is saying their isn't.,Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000003,bbb.org,BBB Customer Reviews,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/customer-reviews#0654_88276839_666096,Sandra C,2026-03-23,1.0,negative,"The people working at this company are very unprofessional and extremely difficult to deal with. They will totally tear up your vehicle, lose the parts, lose the key, take all your belongings out of the vehicle, and not claim responsibility for it. Intake pictures are supposed to be available to view when a vehicle is placed in the lot. They do not take responsibility at all!! Evidently, they don't because they are unable to produce them. Hope and pray that you never have to deal with them!!! Wish I could l leave no star rating because they don't even deserve one star.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000004,play.google.com,Google Play (com.iaai.android),https://play.google.com/store/apps/details?id=com.iaai.android&hl=en&gl=us,Peter JMD,2026-03-21,1,negative,"Hight Fee, Terrible Service, Worst App app is the worst, doesn't show you thing that should be there, hard time with log in, ower all bad!",Account / Access / Login,Password Reset & Login Troubleshooting,App Login Troubleshooting
rvw-000005,bbb.org,BBB Complaints,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/complaints#0654_88276839_24653716,BBB complainant,2026-03-18,1,negative,"Delivery Issues. Bought a car through IAA at their REMOVED , REMOVED location. I paid for delivery, went to the yard and paid for the vehicle and delivery. I live 30 miles away from their yard and they said it would take at most 5 days to deliver the vehicle. Today was that 5 day ""longest delivery time"". I still don't have the car I bought!! I only live REMOVED my name. I LEGALLY PURCHASED THIS CAR AND THEY WON'T DELIVER THE CAR!! It should take about 90 minutes to tow a car 30 miles, I've been waiting a week and every time I check the delivery status, it keeps getting extended further out. I COULD HAVE PUSHED THE VEHICLE TO MY HOUSE IN 3 DAYS!!! A week later, the car I own is still sitting in their parking lot and I have no idea if I'll ever get the car! This business has until Tuesday morning March 24th before I report the car stolen!!??","Vehicle Pickup, Delivery and Scheduling",Tow and Storage Charges,Tow and Storage Fees
rvw-000006,play.google.com,Google Play (com.iaai.android),https://play.google.com/store/apps/details?id=com.iaai.android&hl=ru&gl=us,Франческо Тотти,2026-03-16,1,negative,"I strongly advise against this platform, there are a lot of scammers. Registration is impossible.","Title, Ownership, POA and Documentation",Title Delivery & Status,Title Not Received
rvw-000007,trustpilot.com,Trustpilot (iaai.com),https://www.trustpilot.com/reviews/69adfb814bb82caee4c9b0b5,Sunil D,2026-03-09,1,negative,"Do not belive, My First & Last with IAAI auction.. Do not believe what they say, especially engine starting videos & Run & Drive. I bought a Toyota pries. After deliver, I checked the oil, no oil in the engine. Oil leaking under, when I added oil, leaking. They have started the engine without oil. Broken engine. It was my first & last with IAAI auction.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000008,play.google.com,Google Play (com.iaai.android),https://play.google.com/store/apps/details?id=com.iaai.android&hl=en&gl=us,miguel avila,2026-03-09,1,negative,lm trying to pay .14 years being costumer. it become the worse one app nobody care about it. it look like they are trying that all costumer get mad. and go to other company.,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000009,bbb.org,BBB Customer Reviews,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/customer-reviews#0654_88276839_663575,Sunil D,2026-03-08,1.0,negative,"Do not believe what they say, especially engine starting REMOVED & Drive. I bought a REMOVED . After deliver, I checked the oil, no oil in the engine. Oil leaking under, when I added oil. They have started the engine without oil. Broken engine. It was my first & last with IAAI auction.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000010,bbb.org,BBB Customer Reviews,https://www.bbb.org/us/il/westchester/profile/auto-auction/iaa-0654-88276839/customer-reviews#0654_88276839_663397,Sara B,2026-03-06,1.0,negative,"If I could leave a review under 1 star, I would buy a car from them that started runs and drives. No issues it had on the listing, and I got there after buying it on their sit dead, I charged it the car wouldn't even shift into gear so got it towed just to find out hours later while motor and transmission is blown the car is worthless wasted my time with paying for it and a broker . Mother of 4 kid's you guys should be ashamed of yourself. Nothing but crooks!! DO NOT BUY A CAR FROM THEM AT ALL DO NOT RECOMMEND THEM WORST AUCTION IVE EVER BOUGHT FROM.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
